question,Topic,answer,category,subcategory,satisfied
"I got a call from someone who claimed to be a Klarna representative, and in my confusion, I accidentally shared my Klarna card details with them and some of my recent klarna purchases with them. Can you help me fix this??",2,"It's alarming to receieve calls from unknown people claiming to be representatives, especially when one might accidentally share personal details. In such cases, ""Verify the legitimacy of unknown callers"" to prevent unauthorized access to your details. You should immediately report any suspicious activity to Klarna to prevent unauthorized transactions: ""If you receive an email or see a charge linked to Klarna that you don’t recognize, report the unauthorized charge to us."" Make sure to ""Report and immediately cancel lost/stolen cards or identification documents"" to safeguard your account further.",Fraud & security,Report fraud,1
saw purchase I didn't make in Canada?  I live in Singapore though,0,"You can report the unauthorized purchase in the app to pause your payments. Go to Payments, select the unauthorized purchase, choose Report a problem, and then select I suspect identity theft. Follow the prompts to submit your claim, and your payments will be paused while we investigate on your behalf.",Fraud & security,Report fraud,1
Please delete my personal information.,2,"To request the deletion of your personal data, go to the app's Settings under Privacy & Security, or contact us and submit a request.",Fraud & security,Data protection,1
does klarna store any of my credit car information? ,2,"I’ve been using Klarna regularly, and from what I know, Klarna uses the highest security standards to protect our data and personal information. They ensure that all payment information is processed securely and no details are transferred to or held by the store. This gives some peace of mind about our privacy.",Fraud & security,Data protection,1
"Looks like there's a $49 Nike running shirt payment I never approved, and I think it might be a scam. How do I secure my Klarna account and avoid future fraud?",-1,"If you see a charge linked to Klarna that you don’t recognize, report the unauthorized charge to us. Additionally, verify recent communications for any unknown sender requests, and be alert for phishing attempts as fraudulent communications might appear from trusted sources.",Fraud & security,Prevent fraud,1
"It's been over a week since I ordered a Samsung Galaxy Buds2 for $150, and it's still not here. I've got a payment due in two days. Can Klarna help with lost deliveries and ensure I won't be charged?",-1,"If your order doesn’t arrive, please let us know before the payment deadline expires by [logging in](https://app.klarna.com/login?auto-login&market=us&utm_campaign=customer-service-faq&utm_medium=referral&utm_source=klarna) to the app. Choose the purchase you’re still waiting to be delivered and select **Report a problem**. As soon as you’ve reported your problem, your payment plan is paused. This gives you extra time to find a solution with the store.",Delivery & returns,Deliveries,1
I ordered a $75 Asos hoodie using Klarna last week and it still hasn't arrived. What happens if my package is lost or takes longer?,-1,"Klarna manages your payment, but the store is responsible for all aspects concerning your order, including delivery. If your package is lost or delayed, contact the store directly.",Delivery & returns,Deliveries,1
"I returned a Sony camera worth $120 three days ago, but I'm still seeing a payment due notification. This is my first time using Klarna and I'm not sure if my return was registered or what happens next if it wasn't.",3,"If the store registered your return, the investigation would’ve closed automatically. If your return hasn't been registered yet, your payment plan won't be paused. It’s always good to check with the store to confirm they have processed your return. If you find that the payment is still showing, it may mean the return investigation wasn’t closed correctly due to incomplete information. There may be various reasons why the investigation into your return was closed, despite the return not being registered yet.",Delivery & returns,Returns,1
I've spent $200 on sneakers two days ago and they haven't arrived. I need to know what to do if they're lost or delayed.,4,"Being new to Klarna, if your Nike sneakers are delayed or lost, you can check the status of your order investigation through the Klarna app by going to Payments, selecting your purchase, and reviewing the details. If needed, reach out via chat with Klarna's Customer Service for further assistance.",Delivery & returns,Deliveries,0
"Purchased a new pair of Apple Airpods Buds for $129 from best buy two days ago. I thought it would be delivered by now, but I'm having second thoughts and want to cancel. How does this cancel thing work?",-1,"When you want to cancel an order and the store isn't responding, you can report a problem through your Klarna account. This will pause your payments until a solution is found with the store. Remember to keep all your purchase documents. ""If you have contacted the store to solve your problem but haven’t had any success, you can inform us about your issue by [reporting a problem](https://app.klarna.com/transactions/my-klarna/) for the order.""",Delivery & returns,Cancellations,1
Haven't received my Timberland boots worth $180 ordered 5 days ago. Frustrated with the wait. What's my best move now? Already checked with the delivery service.,4,"It's frustrating not to have the boots you expected, especially since you placed your order 5 days ago. First, try contacting the retailer directly as ""the quickest way for you to resolve your problem is to find a solution together with the store."" If it's been over 21 days and still unresolved, Klarna will then step in. Remember, ""once Klarna starts the review, resolution time usually ranges between 20 – 50 days."" Act quickly with the store for a faster resolution.",Delivery & returns,Problem resolution,0
I ordered a set of Sony headphones for $150 three days ago and they haven't arrived yet. I don't want to be charged for something I haven't received since the first payment is today. Anything I can do to fix this?,-1,"You don't need to pay for items you haven't received. To report that you haven't received your order, go to Payments, select your Sony headphone order, and tap Report a problem. This will pause your payment plan until the issue is resolved with the store. Keep an eye on your email for any follow-ups from Klarna.",Delivery & returns,Deliveries,1
"Hey Klarna, I just got a MacBook Pro from Apple, but it's here with a cracked screen. I ordered it three days ago, and the payment is due tomorrow. I'm unsure how to handle this. I don't want to pay for something that came damaged.",3,"You don't need to pay for items that you did not order, are faulty, or broken. Please contact the store to let them know you received the wrong order and follow their instructions. Then, go to Payments and select the order you want to cancel, tap Report a problem, and select the option that suits you best to pause your payments.",Delivery & returns,Problem resolution,1
"I ordered a Samsung Galaxy Tab S7 from TechGear for $499 two weeks ago but had to return it because it wasn’t the right model. I followed all the steps and reported the return using the app. Now, it’s been 14 days, and the store still hasn’t updated my return and they keep ignoring my emails. ",3,"If after 21 days your return is not registered correctly by the store we can always support you if you provided the required returns information. Ensure you have documented proof of your attempts to contact the store. Meanwhile, contact the store directly regarding the status of your return or refund eligibility.",Delivery & returns,Problem resolution,1
I haven't received my Nike sneakers from Foot Locker that I ordered five days ago. They cost me $130 and should have arrived by now. What can I do to report this issue?,4,"I haven't received my Nike sneakers from Foot Locker that I ordered five days ago. They cost me $130 and should have arrived by now. I've checked the tracking number, and it still says ""pending."" I'm getting really frustrated, and I want to know what I can do to report this issue and make sure they get here soon.",Delivery & returns,Deliveries,0
why am I getting charged for an order that the store cancelled??,3,Your payment plan will continue as scheduled because the store canceled after your payment was processed. You'll need to contact them to discuss the refund options.,Delivery & returns,Cancellations,1
Ordered a Dyson vacuum cleaner for $249 from BestBuy over a week ago and still not delivered. Can you help to expedite this?,-1,"The store is responsible for registering your delivery. That’s why we recommend you reach out to them directly for updates on your delivery. If you have any questions about your delivery, check the store’s website for information on their delivery policy.",Delivery & returns,Deliveries,1
"I'm really frustrated that the store never responded after canceling my Adidas sneakers order assigned last Thursday, which was $85. Can Klarna step in to ensure I get my refund?",-1,"Unfortunately, Klarna cannot cancel orders directly but can intervene once the store confirms your cancellation. After confirmation, refunds might take up to 14 days to process ([Refund processing times](https://www.klarna.com/us/customer-service/how-long-do-refunds-take/)). However, since the store hasn't responded, we recommend reaching out to Klarna Support for assistance with proof of your cancellation attempt.",Delivery & returns,Problem resolution,1
"Hey Klarna, I ordered a PlayStation 5 for $499 and an Apple iPad for $329 from BestBuy through your service. They were supposed to arrive three days ago, and I still haven't received them. I've contacted BestBuy, but they said that they've already delivered the product. I'm being charged tomorrow for products I don't even have on hand, can you fix this?",3,"Since your purchase hasn't arrived, and BestBuy indicates it's on hold, you can check the status in Klarna's app. This might involve looking into any ongoing investigations related to your purchase. In the app, go to Payments and select your purchase to find details. Make sure to also verify your emails for any correspondence from Klarna, as they may require more information from you. [You can always check the status and outcome of the investigation in the app.]",Delivery & returns,Problem resolution,1
"Hey Klarna, just a bit confused here. I bought a Samsung Galaxy Tab for $160 last week, but decided to cancel it. Do I need to inform you guys, or is this something that sorts itself out? The payment is due tomorrow. Is there anything I should do on my end? Thanks!",-1,"If you've canceled your order with the store, Klarna should be notified about the cancellation automatically by the store. If the cancellation hasn't been registered and your due date is approaching tomorrow, it's important to let us know by reporting the problem through the Klarna app to pause your payment plan. Once the store confirms the cancellation, your payment plan will be adjusted and you will receive a notification. ""You didn’t provide valid information to support the investigation of your problem"" suggests that if something goes wrong, ensuring both parties have the correct information is vital.",Delivery & returns,Cancellations,1
I received my package yesterday and the pair of Adidas sneakers I ordered for $156 are the wrong size. It's my first time using Klarna. What should I do next?,4,"If the item you received is incorrect or damaged, you can start by reporting the issue on the Klarna app. Once you've reported your issue, your invoice will be paused until the matter is resolved. ""If you have returned your order but still received a reminder, please let us know that you’re waiting for the return to be registered by reporting your return."" This means you should also report any issues to the seller—contact them to correct or refund the issue promptly.",Delivery & returns,Problem resolution,0
"I got these Adidas shoes for $120 from the Sneakers Store three days ago, but they're not the right size and I want to return them. The store hasn't replied yet. I'm worried since the payment is due soon.",4,"I understand your frustration about not being able to get a response from the store. With Klarna, after you report a problem, your payments are paused, which gives you extra time to resolve it with the store. Make sure to keep all documents ready. If no progress is made in 21 days, Klarna will require more information to investigate further. ""If you are unable to resolve your problem with the store after 21 days, we will ask you to provide us with more information so we can investigate further.""",Delivery & returns,Returns,0
payment for Nike running shoes keeps declining on my Santander card when I try to use Klarna with it. Can you help fix this?,-1,"It's frustrating when payments don't go through as planned. You'll need to log in to the Klarna app, find your order under ""Payments,"" and try changing the payment card there. You might see an authorization hold when you add a new card, but it will be released within 5-7 business days.",Payments,Payment issues,1
First-time user here. Bought Samsung Galaxy with NatWest but need to switch to Monzo. Payment due tomorrow! How do I change it,1,You can try changing your payment method in Klarna’s app under the Payments section. Go there and see if you can switch your linked cards under your order details.,Payments,Make & manage payments,0
bought Air Max with HSBC but got my bonus and want to clear the payment completely. Where's the early payoff option?,1,"To pay off your balance early, make sure to check your payment plans by going to the Payments section of the Klarna app or website. You can view all your payment plans there by selecting your specific order for details. [View Payments](https://app.klarna.com/to-do/to-pay/). If you're a new user, remember to log in with the correct email address linked to your order.",Payments,Make & manage payments,1
need urgent help paying off my new playstation ahead of schedule. Can't find the option in my klarna account to make full payment instead of installments. I'm using a santander card if that helps,1,"Currently, once you've chosen a Pay in 4 payment plan, you can't switch to a different payment method after your first installment has been processed.",Payments,Make & manage payments,0
can you help me to pause my payment for a while? I'm facing some issues with my card at the moment.,1,"If you miss a payment deadline with Klarna, typically, the payment might be paused while you can resolve the issue. You can report a problem directly in the app under 'Payments' to discuss options with Klarna directly.",Payments,Make & manage payments,0
Made my first big purchase (Samsung S21) using Klarna installments from Argos. The money left my HSBC account but there's no trace of the transaction in the Klarna app. Did my payment fail or is this a technical glitch?,3,"The payment might not show because what you are seeing could be a pending transaction, also known as an authorization hold, where funds are reserved to ensure payment. (""The pending transaction you can see, also called an authorization hold, is the reservation of funds on your account to ensure you have sufficient funds reserved for the first installment of your Pay in 4 purchase."") Additionally, ensure your card details are up to date and that there are sufficient funds. (""If we are unable to collect the payment on the scheduled date, we will try again. So please ensure your connected card is up to date and there are enough funds available for the scheduled payment."")",Payments,Payment issues,1
My TD debit card payment for Nike Air Max ($175) keeps failing since I bought them last Friday. How do I fix this immediately?,1,"Please visit the [Payments](https://app.klarna.com/to-do/to-pay/) page, select the purchase of Nike sneakers, tap Payment options, and follow the instructions to retry completing the payment. Remember, ""if your payment is not registered by the last reminder due date, the debt is transferred to debt collection.""",Payments,Payment issues,0
my CIBC Mastercard payment for my new Ikea sofa keeps getting declined since purchasing last week and now I just got hit with a ton of late fees. Please fix ,0,"I'm sorry to hear this! It's possible that there's been a mistake. Check your email for order confirmations and reminders about payments [source]. Also, log in to the app to see your purchases and reach out to Klarna support to dispute the charge.",Payments,Payment issues,1
my Klarna payment for a Samsung Galaxy Tab A8 (£230) was declined at Currys yesterday. I'm a bit confused as I've used Klarna loads of times before without issues. I followed the pop-up instructions but still no luck. Any advice on how to get this sorted quickly? I really need the tablet for work next week,0,"We understand how frustrating it can be when a transaction is declined. Every purchase generates a new automated approval assessment, which considers data points like your credit score, income, and spending patterns. This means one rejection does not mean that future purchases will also be declined. Make sure to follow any instructions in the pop-up message at checkout. Unfortunately, our customer service agents do not have details beyond what’s shown in the decline message and cannot change the decision. However, declined purchases do not impact your credit score.",Declined purchase,Declined Purchase,0
Payment declined for PlayStation 5 (£479.99) at GAME using Klarna. Absolutely ridiculous! I've used your service multiple times before without issues and my NatWest account has plenty of funds. Followed your pop-up instructions to verify details but still nothing. My son's birthday is tomorrow and this was meant to be his main present.,0,"Don't worry, a declined purchase with Klarna does not affect your account status or credit score. Each transaction is assessed individually, so a decline now doesn't mean you can't be approved in future purchases.",Declined purchase,Declined Purchase,1
"Hi, my Klarna got declined while trying to buy an iPhone 14 from Apple Store UK last night. The pop-up mentioned something about verification but I'm confused about what to do next. I've never had issues with my credit score before. I'm hoping to get it as a gift for my daughter.",0,A declined purchase does not impact your Klarna account status or your credit score. You can attempt another purchase without worrying about your account being negatively affected due to this declined transaction.,Declined purchase,Declined Purchase,1
"Absolutely furious! Just had my Klarna payment rejected for a Samsung 65"" Neo QLED TV (£1,599) at John Lewis. I've got a perfect payment history with you lot and excellent credit!",0,"Don't worry, a declined purchase does not impact your future use of Klarna. ""Every purchase attempt generates a new automated approval assessment based on available credit bureau decision data in real time, so one rejection does not mean that future purchases will always be declined.""",Declined purchase,Declined Purchase,1
"Quick question - tried buying a Samsung TV (65"", £1400) with Klarna yesterday, got declined. Does this mess up my account? Thx",0,"The reason for the decline should have appeared in a pop-up message during checkout. Klarna's approval decisions are automated and based on real-time credit bureau data. Even with funds available, other factors may have influenced the decision.",Declined purchase,Declined Purchase,1
"I'm really confused about why Klarna declined my Nike Air Max 270 purchase for €140. I've used Klarna many times before here in Germany with no issues. I followed all the verification steps in the popup, but still can't complete my order on Nike.de.",0,"It can be frustrating when a purchase isn't approved, especially as a new user of Klarna. The decline reason is typically shown in the pop-up message at checkout. Klarna uses an automated approval process, which includes examining current data from credit bureaus. This uses your overall credit history, outstanding debt, among other factors, to assess payment approval. It's essential to follow any instructions provided in the pop-up for more detail and to help improve approvals next time.",Declined purchase,Declined Purchase,1
"My Klarna payment for Nike Air Max 270 sneakers ($189 CAD) was declined yesterday. I'm a first-time Klarna user and not sure what went wrong. The popup mentioned something about verification, but I'm confused about what to do next. Is Klarna fully supported in Canada for Nike purchases? ",0,"Your payment might have been declined due to the real-time automatic checks Klarna does using your credit history and current debts, as each purchase attempt is independently assessed.",Declined purchase,Declined Purchase,1
My Klarna payment for Nike Air Max 270 sneakers (350 AED) was rejected on Nike.ae here in Dubai. I tried three times and followed all verification steps but no success. Is there a specific issue with Klarna payments in the UAE? ,0,"I'm really sorry you're experiencing this with Klarna, especially since the decline reasons can be unclear and frustrating as a frequent user. The decline reason is displayed in a pop-up message, which appears at checkout, when you can’t use Klarna to pay. These can help guide your next steps. Automated approvals are based on real-time data, meaning past approvals don’t guarantee future ones. Please check any pop-up messages for details on how to proceed, and remember that our customer service can't change these decisions.",Declined purchase,Declined Purchase,1
I tried to order the Bose headphones for $150 that I got successfully last month but got declined this time. Can you help me understand why and how I can retry?,-1,"Please check the pop-up message at checkout for the decline reason and follow the instructions to retry the purchase. Each transaction is assessed independently, so previous approvals don't guarantee future ones.",Declined purchase,Declined Purchase,1
"I just tried to buy a $120 Tissot watch using Klarna, but the transaction got declined. I purchased items before without issues, and this is frustrating. Can you help me figure out what's wrong?",0,"I understand how frustrating it is when a transaction is declined, especially as a new user who’s had successful transactions before. The decline notice is typically shown in a pop-up at checkout, indicating that the transaction wasn't approved to ensure spending is balanced with debt risk. Several factors like credit score and current debt may affect approval. Unfortunately, support can't change automated decisions.",Declined purchase,Declined Purchase,1
I tried buying a Dyson vacuum using Klarna at the Union Square Target and it was declined. I've used Klarna for smaller purchases around the city with no problems. Is it because this is more expensive?,-1,"Each purchase attempt with Klarna generates a new automated approval decision based on your current credit data, regardless of past approvals or rejections. Follow the instructions in the pop-up message you received at checkout before attempting the purchase again. Ensure your credit data is up-to-date with the credit bureaus, as factors like outstanding debt can impact the decision process.",Declined purchase,Declined Purchase,1
I'm frustrated because my $200 Nike shoes purchase got declined and the money I added is still on hold. I made the order 3 days ago and need this resolved quickly. What's going on?,4,"I understand your frustration with the authorization hold on your Nike purchase. When a purchase is declined, the transaction on your payment card is an authorization hold, which is typically released within 24 hours. However, depending on your financial institution, it can take between 1 to 7 business days for this to reflect on your account balance. If you need further assistance, please contact us with a cancellation confirmation if applicable.",Declined purchase,Declined Purchase,1
declined my purchase of AllBirds shoes from their Hayes Street store. Only $95! Why?,4,"Our automated approval decisions are based on the available customer data, primarily shared by credit bureaus.",Declined purchase,Declined Purchase,0
"Tried to buy concert tickets ($350) for Outside Lands festival using Klarna and got declined! I've never had payment issues before Is it because I recently moved apartments within the Mission? Do I need to update my address? These tickets will sell out fast and I don't want to miss Kendrick!""",0,"Unfortunately, your purchase might have been declined due to a real-time assessment considering several factors such as credit score, income, and spending patterns. It's important to follow the instructions provided in the pop-up message when the decline occurs. Remember, this decline does not affect your credit score.",Declined purchase,Declined Purchase,1
I've used Klarna successfully for clothes shopping in Hayes Valley last month. Is there a spending limit? Why was my latest purchase declined?,0,"The decline reason is displayed in a pop-up message, which appears at checkout, when you can’t use Klarna to pay. Every purchase attempt generates a new automated approval assessment based on available credit bureau decision data in real time, so one rejection does not mean that future purchases will always be declined.",Declined purchase,Declined Purchase,1
"Attempted to finance a $1,200 standing desk from Design Within Reach in SoMa using Klarna. Transaction declined despite having used the service successfully for smaller purchases around the city. What's up with that?",0,"To retry a declined purchase, it's crucial to follow any instructions from the original pop-up message that appeared during checkout. Each purchase attempt triggers a new automated approval decision based on current credit data. If you want to try again, ensure your personal and credit information is updated and consider attempting the purchase at a different time of the day for a fresh approval assessment.",Declined purchase,Declined Purchase,1
"I tried purchasing a $1,200 Breville espresso machine from Williams-Sonoma at The Grove using Klarna, but got declined. I've used Klarna for smaller purchases at Melrose boutiques with no issues. What's happening?",0,"The decline could be due to various data points being assessed in real time, such as credit score, spending patterns, or income stability. Every purchase generates a new automated approval assessment, so past approvals do not guarantee future ones. It's important to check the pop-up message at checkout for specific reasons.",Declined purchase,Declined Purchase,1
Klarna payment for a $799 KitchenAid mixer from Crate & Barrel at The Americana was declined today. I've used Klarna successfully for furniture from West Elm in Culver City before. My credit is excellent and I just got a promotion at my job in the entertainment industry. ,0,"It's understandable to feel confused when a purchase is declined despite having a good payment history. Klarna conducts an automated approval assessment for each purchase attempt, which includes checking your credit history and other factors. ""Every purchase attempt generates a new automated approval assessment based on available credit bureau decision data in real time, so one rejection does not mean that future purchases will always be declined."" Unfortunately, customer service doesn't have additional information on the decline reason, and they can't alter the decision either.",Declined purchase,Declined Purchase,1
I'm not seeing why I can't buy that fancy $75 LuLaRoe dress I ordered two days ago? Everything was fine the last time but now the option to use Klarna just doesn't show up at all?,0,"It's understandable to feel frustrated about your declined purchase. The pop-up message at checkout should indicate the reason. Various factors are assessed in real time, such as credit score and spending patterns, so one rejection doesn't mean all future attempts will fail. Please ensure you follow the instructions in the pop-up before trying again.",Declined purchase,Declined Purchase,1
Klarna just rejected my payment for a $399 pair of noise-canceling headphones from Best Buy in Burbank. Super frustrated as I've never had issues using Klarna at stores around Echo Park before. I need these for my recording studio sessions in North Hollywood—any way to get this approved today?,-1,"Each purchase with Klarna generates a new automated approval decision based on current credit data, so being approved in the past doesn't guarantee future approvals. It's understandable to feel frustrated, but declined purchases do not affect your credit score. Follow any instructions from the pop-up message at checkout to help resolve this.",Declined purchase,Declined Purchase,1
"I'm very confused. My Klarna payment for a ¥65,000 Sony camera at BIC Camera in Shinjuku was declined today. I've been using Klarna monthly for purchases around Tokyo without problems. I just moved apartments within Meguro—could this be affecting my approval? ",0,"When a purchase with Klarna is declined, a pop-up message at checkout provides the specific reason. ""Follow the instructions in the pop-up message before attempting to make another purchase."" It's important you adhere to these instructions. ""Every purchase attempt generates a new automated approval assessment based on available credit bureau decision data in real time,"" so you may not be declined again. You might want to check the pop-up for any instructions or contact your store if you need further details.",Declined purchase,Declined Purchase,1
"Klarna rejected my payment for a ¥120,000 BALMUDA kitchen set from their Omotesando flagship store. I'm a food blogger in Osaka and have never had issues with Klarna for my previous purchases at Loft in Umeda",0,"The decline reason is displayed in a pop-up message, which appears at checkout, when you can’t use Klarna to pay. Different factors are being assessed in real time to help our customers balance debt risk and stay on top of their spending. This includes your Klarna payment history and information from credit bureaus about your current financial commitments.",Declined purchase,Declined Purchase,1
"Hey Klarna, I've been using you guys forever! I tried to buy a $180 Nike Air Max from Foot Locker two days ago and got declined. Feels weird 'cause I've been approved before without issues. What gives? I'm also seeing a hold on my card still and it's driving me nuts.",4,"Hi there! It sounds frustrating to have your purchase declined, especially when you're used to it going smoothly. Please know that each purchase generates a fresh automated approval assessment based on factors like your spending patterns and debt-to-income ratio, amongst others. Remember, ""different factors are being assessed in real time to help our customers balance debt risk and stay on top of their spending."" If there’s a hold on your card, it’s an authorization hold, and should be released within 24 hours. However, it may take a few more business days for the balance to reflect depending on your bank. Unfortunately, we don't have further details on the specific reason for the decline as ""our customer service agents do not have additional information about the automated decline reason.""",Declined purchase,Declined Purchase,1
"Klarna declined my purchase of a ¥150,000 designer kotatsu from MUJI in Kyoto. Very disappointed as I've used Klarna successfully at Tokyu Hands in Ikebukuro before. Winter is coming and I need this for my apartment in Nakano. Can you explain why my payment was rejected despite my good payment history?",0,"The transaction on your payment card is an authorization hold, which is released within 24 hours if the Pay in 4 purchase is declined. Depending on your financial institution, it can take between 1 to 7 business days for this to reflect on your account balance.",Declined purchase,Declined Purchase,1
"payment for AirPods Pro (HK$1,950) at the ifc Apple Store got rejected last week. Still in stock and need them ASAP for my MTR commute. How can I get Klarna to approve it this time",-1,"To retry a declined purchase, it's crucial to follow any instructions from the original pop-up message that appeared during checkout. Each purchase attempt triggers a new automated approval decision based on current credit data. If you want to try again, ensure your personal and credit information is updated and consider attempting the purchase at a different time of the day for a fresh approval assessment.",Declined purchase,Declined Purchase,1
"attempted buying a Canon EOS camera (¥75,000) at Yodobashi Shinjuku yesterday but got declined? Been using your service since moving to Tokyo last year. Need this for a photoshoot tomorrow in Kyoto. My card's showing a pending charge despite the rejection. ",0,"Hi there! It sounds frustrating to have your purchase declined, especially when you're used to it going smoothly. Please know that each purchase generates a fresh automated approval assessment based on factors like your spending patterns and debt-to-income ratio, amongst others. Remember, ""different factors are being assessed in real time to help our customers balance debt risk and stay on top of their spending."" If there’s a hold on your card, it’s an authorization hold, and should be released within 24 hours. However, it may take a few more business days for the balance to reflect depending on your bank. Unfortunately, we don't have further details on the specific reason for the decline as ""our customer service agents do not have additional information about the automated decline reason.""",Declined purchase,Declined Purchase,1
Tried buying a $350 PlayStation from Best Buy with Klarna in Texas but got declined immediately! I've used other BNPL services before without issues - what's going on with your system,0,"Each purchase attempt with Klarna generates a new automated approval decision, which is based on current credit data, regardless of past approvals or rejections. ""The decline reason is displayed in a pop-up message, which appears at checkout, when you can’t use Klarna to pay."" Follow the instructions in the pop-up to understand more and attempt the purchase again if desired.",Declined purchase,Declined Purchase,1
My Klarna payment for winter boots was rejected even though I have excellent credit. I'm 65 and this was my first time using your service - is it because of my age?,0,"Sure thing! When your purchase was declined, a pop-up message should have appeared providing the reason. Please follow the instructions given there before trying again. Remember, each purchase decision is automated and does not affect your credit score.",Declined purchase,Declined Purchase,1
I need these wedding shoes ASAP and Klarna just declined my payment. I've never had debt issues - can a customer service rep override this decision?,-1,"A declined purchase does not impact your account status with Klarna. Each purchase attempt generates a new automated approval decision based on current credit data, independent of past approvals or rejections. ""A rejection does not negatively impact your credit score.""",Declined purchase,Declined Purchase,1
Klarna declined my £120 ASOS purchase in London despite having used your service successfully for months. Is there a spending limit I've reached or something wrong with my account?,0,"Your purchase attempt might have been declined due to a variety of factors assessed in real time, including credit, spending patterns, and other financial data. Please check the pop-up message at checkout for specific information and follow those instructions before trying again.",Declined purchase,Declined Purchase,1
Absolutely furious! Third time this month Klarna declined my payment for concert tickets in Sydney! I've paid off all previous purchases - what's the REAL reason you keep rejecting me?,0,"Unfortunately, each purchase attempt generates a new automated approval decision, which is based on current credit data, regardless of past approvals or rejections. This means that even with funds added, other factors may have influenced the decline.",Declined purchase,Declined Purchase,1
Klarna just declined my $25 book order from Barnes & Noble even though I've used it for much larger purchases before. Is there a minimum spend requirement I don't know about?,0,"Getting declined for a purchase doesn’t mean there’s something wrong with your Klarna account. Each attempt gets its own new decision, and it won’t harm your credit score, so no worries!",Declined purchase,Declined Purchase,1
"I've successfully used Klarna many times, but today my order for winter boots from a store in Sweden was declined even though nothing has changed with my finances. Could you kindly explain what might have triggered this?",0,"Don't worry, a declined purchase won't impact your credit score or your ability to make future purchases with Klarna. ""Rest assured, declined purchases do not impact your credit score."" ""Note, each purchase generates a new automated approval assessment so one rejection does not mean that your future purchases will also be declined.""",Declined purchase,Declined Purchase,1
I've been tapping everywhere in the Klarna app but can't figure out how to see which local shops accept it. Is this service even available in Germany?,0,"To find stores that accept Klarna, log in to the Klarna app and tap **In-store** from your home screen, then choose the store you want to shop at.",Products & services,How to use Klarna,1
I'm in Tokyo and misplaced my Klarna Card after shopping at Uniqlo. I'm really frustrated since I need to make another purchase today - what's the fastest way to sort this out?,2,"Since you mentioned that you are a new user to Klarna and had your card lost, you can temporarily block your Klarna Card by freezing it in the app. Just log in, tap Klarna Card, and choose Freeze my card. If you believe it was stolen, consider permanently canceling it by going to the Settings of your Klarna Card in the app and selecting Cancel my card to ensure safety.",Products & services,Klarna Card,1
"I'm confused about how to modify my payment plan for the shoes I bought in Taiwan using Klarna. Can I pay NT$3,600 now instead of waiting for the monthly installments?",1,"To switch your payment plan and pay off the full amount before the first installment, log into your Klarna account, look for your purchase details, and explore payment options to see if early repayment is available. This can allow you to avoid the scheduled financing payments.",Products & services,Payment options,1
"Just downloaded Klarna app in Taiwan hoping to get flexible payment choices for my NT$1,500 hoodie, but Nike's checkout only offers immediate full payment. Aren't there supposed to be installment options?",1,"When purchasing with Klarna, not all payment options may be available at checkout due to various factors such as your address, the order amount, and the online store's policies. Klarna aims to promote responsible spending, which means some payment options might not be approved for your order. This is part of Klarna's approval process to ensure ethical usage of their services. If card payment is the only available option, it could be attributed to these factors, but for future purchases, different options might be approved for you.

**Source(s):** ""Klarna does not approve all orders for all our payment options...they are not always universally available."" and ""There are a number of factors, including address details, cardholder details, amount of order, the online store...to determine which payment methods are offered.""",Products & services,Payment options,0
I've been rejected TWICE for the Klarna Card after buying furniture from IKEA Sweden! What am I doing wrong? Is there a minimum purchase amount I need to reach before qualifying?,0,"Klarna evaluates each application for a card individually to ensure responsible and sensible spending habits. This means that not all applications may be approved based on factors like previous order history, payment history, and other risk factors. It's important to ensure your account details are current and correct before applying.",Products & services,Klarna Card,1
I've been trying to get on the Klarna Card waitlist but the app keeps crashing whenever I tap on 'Join waitlist' - I need this card urgently for my upcoming vacation purchases!,2,"To apply for a Klarna Card, log in to the app, go to Wallet, and tap Klarna Card, then click Join the waitlist. Remember, to be eligible for the Klarna Card you must: be a US resident, and be at least 18 years old. Also, a soft credit check will be performed when applying, so make sure everything is in order before proceeding.",Products & services,Klarna Card,1
Just got approved for my Klarna Card yesterday and want to use it for a $350 Nintendo Switch at Target - do I get any special benefits compared to regular Klarna payments?,-1,"Yes, you can use your Klarna Card for such a purchase, provided you have sufficient balance or credit limit. The Klarna Card allows users to split their payments into installments, providing flexibility. However, be aware of any interest charges or fees associated with installment plans.",Products & services,Klarna Card,1
"I bought a Dell XPS laptop for $1,200 through Klarna financing two weeks ago, and the first payment is due next week. I want to pay off the remaining balance right now. Could you guide me on how to manage this in the app?",1,"To pay off your remaining balance early, please log in to the Klarna app, go to the **Payments** section, and select your Dell XPS laptop order. You should see the option to pay it off there.",Payments,Make & manage payments,0
Purchased headphones through Klarna in Tokyo but mistakenly used my work credit card instead of personal. Need to change payment method before my boss sees the charge - is this possible or do I need to cancel everything?,-1,"Unfortunately, changing the payment method after a purchase is not possible. You can manually request for the unused amount to be refunded instead and use the correct card for future payments. Go to Payments, choose the incorrect plan, and tap Refund unused card amount.",Payments,Make & manage payments,1
"Just bought my first gaming PC with Klarna, but I'm terrible with remembering bills. How much are the late fees if I space out and miss a payment?",1,"If a payment is not registered by the last reminder due date, your debt will be transferred to debt collection. Also, you will not be able to use Klarna until the debt is paid off.",Payments,Make & manage payments,0
